,Name,Album,Artist
0,"Jee Karda (From ""Badlapur)","Jee Karda (From ""Badlapur"")",Sachin-Jigar
1,"Nadaan Parindey Ghar Aaja (From ""Rockstar"")",Best Of Ranbir Kapoor,Various Artists
2,,,Various Artists
3,Angry Mix,Sarkar 3 (Original Motion Picture Soundtrack),Ravi Shankar
4,Gussa,Sarkar 3 (Original Motion Picture Soundtrack),Ravi Shankar
5,Sam Dham,Sarkar 3 (Original Motion Picture Soundtrack),Ravi Shankar
6,Thamba,Sarkar 3 (Original Motion Picture Soundtrack),Ravi Shankar
7,Shakti,Sarkar 3 (Original Motion Picture Soundtrack),Ravi Shankar
8,Sarkar Trance,Sarkar 3 (Original Motion Picture Soundtrack),Ravi Shankar
9,Yalgaar,Yalgaar (Original),Ajey Nagar (CarryMinati)
