,Name,Album,Artist
0,To the Hellfire,To the Hellfire,Lorna Shore
1,Mr. Highway's Thinking About The End,Homesick,A Day To Remember
2,Animals,For Those That Wish To Exist,Architects
3,Swallowing the Rabbit Whole,Underneath,Code Orange
4,Boneyards,Horizons (Deluxe Edition),Parkway Drive
5,The End of All We Know,Fracture,Bleed From Within
6,Imperium,Through the Ashes of Empires,Machine Head
7,My Cancer,Exi(S)T,Reflections
8,passage noir,måsstaden under vatten,Vildhjarta
9,passage noir - instrumental,måsstaden under vatten (instrumental),Vildhjarta
10,Legion,Legion,Sovereign
11,phantom assassin,måsstaden under vatten,Vildhjarta
12,The Blade,SION,SION
13,Death Roll,Manic,Wage War
14,Nihilist,The Ignorance,Filth
15,Sightless,Immersion,Fractalize
16,Confined,Shadows Are Security,As I Lay Dying
17,Second Death,Nadir,Black Tongue
18,Early Grave,Hollow Crown,Architects
19,Burden Pt. 2 (feat. Ben Duerr),Somehow // Somewhere,FRCTRD
20,Tide,Välde,Humanity's Last Breath
21,Forced to Stay,A Tear in the Fabric of Life,Knocked Loose
22,Take Your Pick [Feat. Corpsegrinder],Welcome To Horrorwood: The Silver Scream 2,Ice Nine Kills
23,Take This Life,Come Clarity,In Flames
24,Sleepwalker,Deep Blue,Parkway Drive
25,The Fire Itself,The Fire Itself,Phinehas
26,Recreant,Desolation Of Eden,Chelsea Grin
27,I Am King,I Am King,Code Orange
28,Mephisto,Curse,Crystal Lake
29,Exist,Exi(S)T,Reflections
30,These Colours Don't Run,Daybreaker (Deluxe Edition),Architects
31,Doomsday,Holy Hell,Architects
32,Loathe,A Year of Suffering,Left to Suffer
33,Black Heart,Black Heart,Within The Ruins
34,Into The Great Beyond (Rerecorded),The Voyages (Rerecorded Version),Crystal Lake
35,Thorns,The Fire Itself,Phinehas
36,Contraband (feat. Courtney LaPlante),Contraband (feat. Courtney LaPlante),Make Them Suffer
37,Sun//Eater,Sun//Eater,Lorna Shore
38,Cursed to Die,Cursed to Die,Lorna Shore
39,Into the Earth,Into the Earth,Lorna Shore
40,Flesh Coffin,Flesh Coffin,Lorna Shore
41,Demolisher,Kostolom,Slaughter to Prevail
42,Bitter End,Creation / Destruction,Fit For A King
43,Your Betrayal,Fever,Bullet For My Valentine
44,Letting You Go,Gravity,Bullet For My Valentine
45,Broken Vision Rhythm,I Let It in and It Took Everything,Loathe
46,Make Me Blind - Remastered,Humanity's Last Breath (Remixed & Remastered),Humanity's Last Breath
47,Send Help,Coma Witch,The Acacia Strain
48,Baba Yaga,Kostolom,Slaughter to Prevail
49,Flying Whales,From Mars to Sirius,Gojira
50,Eternally Apart,The Fire Itself,Phinehas
51,Cynica,Isolation,The Browning
52,Grotesque,Grotesque,Dealer
53,Immortal,Immortal,Lorna Shore
54,Bonebreaker,Kostolom,Slaughter to Prevail
55,Lesser Gods,War,Demon Hunter
56,Flight of the Fireflies,Flight of the Fireflies,Orbit Culture
57,Of the Abyss,...And I Return To Nothingness - EP,Lorna Shore
58,Acid Romance,A Quiet Place to Die,Alpha Wolf
59,Akudama,Akudama,Alpha Wolf
60,Landmine,The Death of Me,Polaris
61,Insects,Darko,Darko US
62,Evolving,Oni,Darko US
63,Expire,Exoplanet (Redux),The Contortionist
64,Brain Washing,Brain Washing,DEXCORE
65,EARTHWORM,-18-,DEXCORE
66,DRAGOUT.,DRAGOUT.,DEXCORE
67,THE LIGHT,THE LIGHT,DEXCORE
68,Self-Hatred,-18-,DEXCORE
69,Hate File,Hate File,Harbinger
70,Lifeblood,Lifeblood,Brand of Sacrifice
71,Exit Bag,Downer Part.1,ten56.
72,Terrorist Threat,Epilogue,To The Grave
73,Behold The Crown,Evergreen,After The Burial
74,Lost in a Wave,Lost in a Wave,LANDMVRKS
75,heartsmear,måsstaden under vatten,Vildhjarta
76,heartsmear - instrumental,måsstaden under vatten (instrumental),Vildhjarta
77,Empire Of Dirt,Pain Again,Varials
78,Prophets,The Virus,Before I Turn
79,Trilogy,Iridescent,Silent Planet
80,Counting Worms,Laugh Tracks,Knocked Loose
81,Mother Sky,Silent Machine,Twelve Foot Ninja
82,Hostage,Eternal Nightmare,Chelsea Grin
83,Iine!,BABYMETAL,BABYMETAL
84,Gott ist Tot,End Of Existence,The Browning
85,Cicada,Silhouette,Reflections
86,(•REC),(•REC),To The Grave
87,Doosh,Doosh,The Hell
88,Nightmare,Broken // Bones,Void Of Vision
89,Bottom Feeder,Ire,Parkway Drive
90,20 km/h,20 km/h,We Butter The Bread With Butter
91,Liquid,Mechanical Spin Phenomena,Mnemic
92,Gungrave,ERRA,ERRA
93,Aeon,Helix,Crystal Lake
94,In Waves,In Waves (Special Edition),Trivium
95,Selbstjustiz,Obsession,Consvmer
96,Neophyte,Circle of Dust (Remastered) [Deluxe Edition],Circle of Dust
97,Pale Tongue,Darko,Darko US
98,Animal,Lifeblood,Brand of Sacrifice
99,Wastage,Global Warning,To The Grave
