,Name,Album,Artist
0,Twisted,Loner,MISSIO
1,I'm Gonna Show You Crazy,I'm Gonna Show You Crazy,Bebe Rexha
2,Play with Fire (feat. Yacht Money),Babel,Sam Tinnesz
3,Graveyard,Graveyard,Halsey
4,Cradles,Cradles,Sub Urban
5,Wires,I'm Sorry...,The Neighbourhood
6,Control,BADLANDS (Deluxe),Halsey
7,Gasoline,BADLANDS (Deluxe),Halsey
8,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack / Deluxe Version),Various Artists
9,Wolf in Sheep's Clothing (feat. William Beckett),Duality,Set It Off
10,Savage,Savage,Bahari
11,O.D.D.,From The Outside,Hey Violet
12,This Little Girl,This Little Girl EP,Cady Groves
13,Truth Hurts,Cuz I Love You (Deluxe),Lizzo
14,Believer,Evolve,Imagine Dragons
15,Whatever It Takes,Evolve,Imagine Dragons
16,If I Killed Someone For You,Narrated For You,Alec Benjamin
17,The Devil Within,Close Your Eyes,Digital Daggers
18,HUSHH,Hushh,AViVA
19,Devils Don't Fly,Trouble,Natalia Kills
20,Hoodie,From The Outside,Hey Violet
21,She's Crazy but She's Mine,She's Crazy but She's Mine,Alex Sparrow
22,Guys Dont Like Me,Introduction,It Boys!
23,Prom Queen,Prom Queen,Molly Kate Kestner
24,911,Can You Keep a Secret?,Ellise
25,Self Control,Expectations,Bebe Rexha
26,Power (feat. Stormzy),Glory Days: The Platinum Edition,Little Mix
27,Cake,Cry Baby (Deluxe Edition),Melanie Martinez
28,Boy In The Bubble,Narrated For You,Alec Benjamin
29,If U Seek Amy,Circus (Deluxe Version),Britney Spears
30,Hate Me,Hate Me,Nico Collins
31,Shameless,Shameless,Camila Cabello
32,Legends Are Made,Babel,Sam Tinnesz
33,Ready Set Let's Go,Ready Set Let's Go,Sam Tinnesz
34,Emperor's New Clothes,Death of a Bachelor,Panic! At The Disco
35,Wolves,Babel,Sam Tinnesz
36,Fight On,Babel,Sam Tinnesz
37,Nothing Ever Changes,Nothing Ever Changes,Nico Collins
38,Nightcore - Solo,Nightcore - Solo,Nightmare
39,Toxic,In The Zone,Britney Spears
40,Wolves,Wolves,Selena Gomez
41,The Other Side,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists
42,16 Shots,16 Shots,Stefflon Don
43,FRIENDS,FRIENDS,Marshmello
44,NVM,NVM,Faith Marie
45,Mad Hatter,Cry Baby (Deluxe Edition),Melanie Martinez
46,I Am Falling For You,I Am Falling For You,Loving Caliber
47,Nightmare,Nightmare,Halsey
48,"Tag, You're It",Cry Baby (Deluxe Edition),Melanie Martinez
49,Blame It On The Kids,Blame It On The Kids,AViVA
50,Rabbit Hole,Rabbit Hole,AViVA
51,Crazy = Genius,Death of a Bachelor,Panic! At The Disco
52,POP/STARS,POP/STARS,K/DA
53,Life Is Fun,Life Is Fun,Boyinaband
54,TiK ToK,Animal (Expanded Edition),Kesha
55,Flesh,R∆,Simon Curtis
56,ICY GRL,High Maintenance,Saweetie
57,My Type,ICY,Saweetie
58,Venom - Music From The Motion Picture,Kamikaze,Eminem
59,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits,Eminem
60,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem
61,Till I Collapse,The Eminem Show,Eminem
62,I Can't Decide,Ta Dah,Scissor Sisters
63,Angel of Small Death and the Codeine Scene,Hozier (Expanded Edition),Hozier
64,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring
65,Heathens,Heathens,Twenty One Pilots
66,Finish Line,Victorious,Skillet
67,Troublemaker (feat. Flo Rida),Right Place Right Time (Deluxe),Olly Murs
68,Freaks - Radio Edit,Freaks,Timmy Trumpet
69,Angry Too,Angry Too,Lola Blanc
70,I'll Sleep When I'm Dead,Cinematics (Deluxe),Set It Off
71,Crash,Onward,Neovaii
72,Born Ready,Golden Age,Zayde Wølf
73,Revolution,ATLAS,The Score
74,Partners in Crime (feat. Ash Costello),Cinematics (Expanded Edition),Set It Off
75,Ain't No Rest for the Wicked,Cage The Elephant (Expanded Edition),Cage The Elephant
76,Teenagers,The Black Parade,My Chemical Romance
77,What's Up Danger (with Black Caviar),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists
78,Born For This,Pressure,The Score
