,Name,Album,Artist
0,Subhanallah,Yeh Jawaani Hai Deewani,Pritam
1,Tum Se Hi,Jab We Met,Pritam
2,"Mast Magan (From ""2 States"")",Groove With Arijit Singh,Arijit Singh
3,Kabhi Kabhi Aditi,Jaane Tu... Ya Jaane Na,A.R. Rahman
4,Hey Ya !,Karthik Calling Karthik,Shankar-Ehsaan-Loy
5,Uff Teri Adaa,Karthik Calling Karthik,Shankar-Ehsaan-Loy
6,Jashn-E-Bahaaraa,Jodhaa Akbar (Original Motion Picture Soundtrack),A.R. Rahman
7,Dildaara (Stand By Me),Ra-One,Vishal-Shekhar
8,"Jaane Kyun (From ""Dostana"")",Musical Bond: Vishal Shekhar & Anvita Dutt,Vishal-Shekhar
9,Sooraj Ki Baahon Mein,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy
10,Hai Junoon,New York,Pritam
11,Tum Tak,Raanjhanaa (Original Motion Picture Soundtrack),A.R. Rahman
12,Khaabon Ke Parinday,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy
13,Ik Junoon (Paint It Red),Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy
14,Dil Dhadakne Do,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy
15,Ilahi (Reprise),Yeh Jawaani Hai Deewani,Pritam
16,Sham,Aisha (Original Motion Picture Soundtrack),Amit Trivedi
17,,,Various Artists
18,"Raat Bhar (From ""Heropanti"")",Groove With Arijit Singh,Arijit Singh
19,"Kudi Nu Nachne De (From ""Angrezi Medium"")","Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani
20,Jugni,Queen,Amit Trivedi
21,Tu Chahiye,Bajrangi Bhaijaan,Pritam
22,Tu Hi Hai,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi
23,You Are My Soniya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit
24,,,Various Artists
25,Falak Tak,Tashan,Vishal-Shekhar
26,Tum Mile,Tum Mile (Original Motion Picture Soundtrack),Pritam
27,Jhak Maar Ke,Desi Boyz,Pritam
28,Gulabi Aankhen,Universally SANAM,Sanam
29,Tujh Mein Rab Dikhta Hai,Rab Ne Bana Di Jodi (Original),Salim–Sulaiman
30,Te Amo (Duet),Dum Maaro Dum,Pritam
31,Tu Jo Mila,Bajrangi Bhaijaan,Pritam
32,Ajab Si,Om Shanti Om,Vishal-Shekhar
33,Bol Na Halke Halke,Jhoom Barabar Jhoom,Shankar-Ehsaan-Loy
34,"Mileya Mileya (From ""Happy Ending)",Happy Ending (Original Motion Picture Soundtrack),Sachin-Jigar
35,Mera Mann Kehne Laga,Nautanki Saala !,Various Artists
36,Mast Magan,2 States,Shankar-Ehsaan-Loy
37,Matargashti,Tamasha,A.R. Rahman
38,Dil Kyun Yeh Mera,Kites,Rajesh Roshan
39,Aabaad Barbaad,Ludo,Pritam
40,"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Pritam
41,Ilahi,Yeh Jawaani Hai Deewani,Pritam
42,Raabta (Kehte Hain Khuda Ne),Agent Vinod,Pritam
43,Saibo,Shor in the City (Original Motion Picture Soundtrack),Sachin-Jigar
44,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",Various Artists
45,Sawaar Loon,Lootera,Amit Trivedi
46,Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,Amit Trivedi
47,Adhoore,Break Ke Baad,Vishal-Shekhar
48,I Feel Good,Anjaana Anjaani,Vishal-Shekhar
49,,,Various Artists
50,I Love You,Bodyguard,Himesh Reshammiya
51,Voh Dekhnay Mein,"London, Paris, New York (Original Motion Picture Soundtrack)",Ali Zafar
52,Offo,2 States,Shankar-Ehsaan-Loy
53,"Jhumritalaiyya (From ""Jagga Jasoos"")","Jhumritalaiyya (From ""Jagga Jasoos"")",Pritam
54,"Haareya (From ""Meri Pyaari Bindu "")",YRF Top 10 - Midnight Hour,Sachin-Jigar
55,Kya Mujhe Pyar Hai,Woh Lamhe,Pritam
56,Kaise Mujhe,Ghajini,A.R. Rahman
57,Abhi Kuch Dino Se,Dil Toh Baccha Hai Ji,Pritam
58,Hosanna,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),A.R. Rahman
59,Kyon,Barfi! (Original Motion Picture Soundtrack),Pritam
60,Kahaan Ho Tum,Mismatched: Season 1 (Music from the Netflix Original Series),Mismatched
61,,,Various Artists
62,"Jaise Mera Tu (From ""Happy Ending"")",Happy Ending (Original Motion Picture Soundtrack),Sachin-Jigar
63,Daryaa,Manmarziyaan (Original Motion Picture Soundtrack),Amit Trivedi
64,Chaudhary,Coke Studio @ MTV Season 2: Episode 3,Various Artists
65,Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Pritam
66,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Pritam
67,Kahin To,Jaane Tu... Ya Jaane Na,A.R. Rahman
68,,,Various Artists
69,Saansein,Karwaan,Various Artists
70,Tune Jo Na Kaha,New York,Pritam
71,Raabta,Agent Vinod,Pritam
72,Aye Khuda,Paathshaala,Hanif Shaikh
73,"Tose Naina (From ""Mickey Virus)",Love Dose Arijit Singh,Arijit Singh
74,Khuda Jaane,Bachna Ae Haseeno,Vishal-Shekhar
75,Tum Ho,Rockstar,A.R. Rahman
