,Name,Album,Artist
0,Soorma Anthem,Soorma (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
1,,,Various Artists
2,,,Various Artists
3,,,Various Artists
4,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")","Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",Pritam
5,"De Taali (From ""Bhool Bhulaiyaa 2"")","De Taali (From ""Bhool Bhulaiyaa 2"")",Pritam
6,Firecracker,Jayeshbhai Jordaar,Vishal-Shekhar
7,"Srivalli (From ""Pushpa The Rise Part - 01"")","Srivalli (From ""Pushpa The Rise Part - 01"")",Javed Ali
8,"Naacho Naacho (From ""Rrr"")","Naacho Naacho (From ""Rrr"")",Vishal Mishra
9,Bhaag Milkha Bhaag - Rock Version,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
10,Zinda,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
11,Dangal,Dangal,Pritam
12,"Jee Karda (From ""Badlapur)","Jee Karda (From ""Badlapur"")",Sachin-Jigar
13,Khalaas,AK vs AK (Music from the Netflix Original Film),Various Artists
14,Mirchi,Mirchi,DIVINE
15,Kaam 25 - Sacred Games,Kaam 25 (Sacred Games),DIVINE
16,Satya,Punya Paap,DIVINE
17,Mera Bhai,Mera Bhai,DIVINE
18,Chal Bombay,Kohinoor,DIVINE
19,Gandhi Money,Kohinoor,DIVINE
20,,,Various Artists
21,Kadak Ban,Kadak Ban,Emiway Bantai
22,Khatam Hue Waande,Khatam Hue Waande,Emiway Bantai
23,GRIND,GRIND,Emiway Bantai
24,Heal,Heal,Emiway Bantai
25,Toh Dishoom,Dishoom,Pritam
26,Brown Munde,Brown Munde,Various Artists
27,Mehabooba,KGF Chapter 2,Sandesh Datta Naik
28,"Chaka Chak (From ""Atrangi Re"")","Chaka Chak (From ""Atrangi Re"")",A.R. Rahman
29,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")","Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")",Kanika Kapoor
30,Jugnu,Jugnu,Badshah
31,"Kusu Kusu (From ""Satyameva Jayate 2"")","Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi
32,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",Various Artists
33,Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,Jubin Nautiyal
34,"Tip Tip (From ""Sooryavanshi"")","Tip Tip (From ""Sooryavanshi"")",Tanishk Bagchi
35,Barbaadiyan,Shiddat,Various Artists
36,Param Sundari,Mimi (Original Motion Picture Soundtrack),A.R. Rahman
37,Lut Gaye,Lut Gaye,Jubin Nautiyal
38,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")","Nadiyon Paar (Let the Music Play Again) [From ""Roohi""]",Sachin-Jigar
39,Tu Aake Dekhle,The Carnival,King
40,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli
41,Soch Na Sake,Airlift,Amaal Mallik
42,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Ultimate Love Songs - Arijit Singh,Arijit Singh
43,Tera Fitoor,Genius (Original Motion Picture Soundtrack),Himesh Reshammiya
44,Kabira (Encore),Yeh Jawaani Hai Deewani,Pritam
45,Sooraj Dooba Hain,Roy,Amaal Mallik
46,"Ilahi (From ""Yeh Jawaani Hai Deewani"")",Groove With Arijit Singh,Arijit Singh
47,"Ghungroo (From ""War"")","Ghungroo (From ""War"")",Vishal-Shekhar
48,"Pachtaoge (From ""Jaani Ve"")","Pachtaoge (From ""Jaani Ve"")",Arijit Singh
49,,,Various Artists
50,Khairiyat,Chhichhore,Pritam
51,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh Broken Strings,Arijit Singh
52,Love Dose,Desi Kalakaar,Yo Yo Honey Singh
53,Blue Eyes,Blue Eyes,Yo Yo Honey Singh
54,Desi Kalakaar,Desi Kalakaar,Yo Yo Honey Singh
55,"Chaar Botal Vodka (From ""Ragini Mms 2"")",Yo Yo Honey Singh Is Back,Yo Yo Honey Singh
56,One Bottle Down,One Bottle Down,Yo Yo Honey Singh
57,Chhote Chhote Peg,Sonu Ke Titu Ki Sweety,Various Artists
58,"Yaar Naa Miley (From ""Kick"")",Yo Yo Honey Singh Is Back,Yo Yo Honey Singh
59,Dil Chori,Sonu Ke Titu Ki Sweety,Various Artists
60,Yaar Naa Miley (Remix By Yo Yo Honey Singh),Kick,Himesh Reshammiya
61,Bijlee Bijlee,Bijlee Bijlee,Harrdy Sandhu
62,Salaam Rocky Bhai,Kgf Chapter 1,Ravi Basrur
63,Ho Jaane Do Aar Paar,Kgf Chapter 1,Ravi Basrur
64,Toofan,KGF Chapter 2,Sandesh Datta Naik
65,,,Various Artists
66,,,Various Artists
67,Vaaste,Vaaste,Dhvani Bhanushali
68,Sultan,Kgf Chapter 1,Ravi Basrur
69,,,Various Artists
70,"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")","Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")",Sachet Tandon
71,Badtameez Dil,Yeh Jawaani Hai Deewani,Pritam
72,"O Saki Saki (From ""Batla House"")",Mesmeric Voice - Tulsi Kumar,Tulsi Kumar
73,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Garmi (From ""Street Dancer 3D"")",Badshah
74,Bom Diggy Diggy,"Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",Zack Knight
75,Nashe Si Chadh Gayi,Befikre,Vishal-Shekhar
76,"High Rated Gabru (From ""Nawabzaade"")","High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa
77,,,Various Artists
78,,,Various Artists
79,Yalgaar,Yalgaar (Original),Ajey Nagar (CarryMinati)
80,"Chogada (From ""Loveyatri"")","Chogada (From ""Loveyatri"")",Darshan Raval
81,,,Various Artists
82,Tera Ghata,Tera Ghata,Gajendra Verma
83,Khalibali,Padmaavat,Sanjay Leela Bhansali
84,,,Various Artists
85,,,Various Artists
86,,,Various Artists
87,Bach Ke Rehna (Red Notice),Bach Ke Rehna (Red Notice),Badshah
88,Mere Gully Mein (feat. Naezy),Mere Gully Mein (feat. Naezy),DIVINE
89,"Najaa (From ""Sooryavanshi"")","Najaa (From ""Sooryavanshi"")",Tanishk Bagchi
