,Name,Album,Artist
0,Mere Baad Kisko Sataoge (Lo-Fi),Mere Baad Kisko Sataoge (Lo-Fi),Madhur Sharma
1,Pyar Tha Waqt Nahi,Pyar Tha Waqt Nahi,Arshman Naeem
2,Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil
3,"Saware (From ""Phantom"")",Ultimate Love Songs - Arijit Singh,Arijit Singh
4,Teri Yaad,Teri Yaad,Aditya Rikhari
5,"Channa Mereya (From ""Ae Dil Hai Mushkil"")","Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam
6,Roz Tujhe,Roz Tujhe,Azadd
7,Aaya Na Tu,Aaya Na Tu,Arjun Kanungo
8,Awaara Ho,Awaara Ho,Shashwat Sachdev
9,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",Various Artists
10,Kaisi Jadugari,Kaisi Jadugari,Shashwat Sachdev
11,Ek Tarfa,Ek Tarfa,Darshan Raval
12,Main Rahoon Ya Na Rahoon,Main Rahoon Ya Na Rahoon,Amaal Mallik
13,Kyu Hi Hum Mile,Kyu Hi Hum Mile,Atul Gupta
14,Bekhayali,Kabir Singh,Various Artists
15,Das Ki Kasoor,Das Ki Kasoor,Rahul Sathu
16,Asal Mein,Asal Mein,Darshan Raval
17,Dil Karda,Dil Karda,Ananya Birla
18,Tera Zikr,Tera Zikr,Darshan Raval
19,Tu Mil Jata Hai,Tu Mil Jata Hai,Shravan Mantri
20,Jo Tu Na Mila,Jo Tu Na Mila,Asim Azhar
21,"Phir Na Milen Kabhi (From ""Malang - Unleash The Madness"")","Phir Na Milen Kabhi (From ""Malang - Unleash The Madness"")",Ankit Tiwari
22,Nit Nit,Nit Nit,Jasleen Royal
23,Dill Tutda,Dill Tutda,Jassie Gill
24,Mehroom,Mehroom,Raman Negi
25,Main Tumhara,Dil Bechara (Original Motion Picture Soundtrack),A.R. Rahman
26,O Saathi,"O Saathi (From ""Baaghi 2"")",Atif Aslam
27,Iraade,Iraade,Garima Yajnik
28,Lambiyan Judaiyan,Lambiyan Judaiyan,Imran Raza
29,Playa,Playa,babyface
30,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam
