,Name,Album,Artist
0,"Kudi Nu Nachne De (From ""Angrezi Medium"")","Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani
1,,,Various Artists
2,Patakha Guddi,Highway,A.R. Rahman
3,Nadaan Parinde,Rockstar,A.R. Rahman
4,Dil Chahta Hai,Dil Chahta Hai,Shankar-Ehsaan-Loy
5,Sinbad The Sailor,Rock On,Shankar-Ehsaan-Loy
6,Love You Zindagi,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi
7,Kun Faya Kun,Rockstar,A.R. Rahman
8,Gal Mitthi Mitthi,Aisha (Original Motion Picture Soundtrack),Amit Trivedi
9,Raghupati Raghav,Kuch Kuch Hota Hai,Jatin-Lalit
10,"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Pritam
11,Dance Pe Chance,Rab Ne Bana Di Jodi (Original),Salim–Sulaiman
12,Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah
13,Chhalka Chhalka Re,Saathiya,A.R. Rahman
14,Iktara,Wake Up Sid (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
15,Ankahee,Lootera,Amit Trivedi
16,Oo Oo Jaane Jaana,Oo Oo Jaane Jaana,Swapneel Jaiswal
17,Dil Dooba,Khakee,Ram Sampath
18,Wo Ajnabee,The Train,Mithoon
19,Chup Chup Ke,Bunty Aur Babli,Shankar-Ehsaan-Loy
20,Khwaja Mere Khwaja,Jodhaa Akbar (Original Motion Picture Soundtrack),A.R. Rahman
21,Jo Bhi Main,Rockstar,A.R. Rahman
22,Katiya Karun,Rockstar,A.R. Rahman
23,Saudebazi (Encore),Aakrosh,Pritam
24,Meri Mehbooba,Pardes (Original Motion Picture Soundtrack),Nadeem Shravan
25,Uyirin Uyire,Kaakha Kaakha (Original Motion Picture Soundtrack),Harris Jayaraj
26,Aasman Ke,Top of the Pops,Various Artists
27,Pyaar Ke Pal,Pal,KK
28,Pasoori,Pasoori,Shae Gill
29,Laaree Chootee,Dhoom,Call
